loan_id,age,education,proof_submitted,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_default
1033,28,1.0,Aadhar,777600.0,961200.0,0,0,0,0
6340,39,2.0,Aadhar,463848.0,1046532.0,5,3,0,0
3887,27,2.0,Aadhar,654984.0,865380.0,2,0,0,1
2654,29,2.0,VoterID,691716.0,867792.0,0,0,0,1
6915,37,1.0,Aadhar,796584.0,961200.0,0,0,0,0
6584,49,2.0,Aadhar,688956.0,834540.0,0,0,0,1
2826,30,1.0,Aadhar,665868.0,889332.0,0,0,0,1
1011,47,1.0,Aadhar,667908.0,784416.0,2,0,0,0
1540,29,1.0,Aadhar,658308.0,837360.0,0,0,0,0
932,42,2.0,VoterID,632436.0,777720.0,3,2,0,0
2288,29,1.0,Aadhar,439992.0,996852.0,2,2,0,0
692,27,1.0,Aadhar,615636.0,804000.0,4,3,0,0
534,44,2.0,Aadhar,389808.0,795948.0,2,0,0,0
2400,26,1.0,Aadhar,889812.0,1069200.0,0,0,0,0
2203,43,1.0,Aadhar,449268.0,592560.0,0,0,0,0
653,35,2.0,Aadhar,667188.0,956916.0,0,0,0,0
34,45,2.0,VoterID,636936.0,846984.0,0,0,0,1
5344,32,2.0,Aadhar,574188.0,830136.0,6,5,1,1
45,34,2.0,PAN,750564.0,859200.0,5,3,0,1
3358,29,2.0,Aadhar,591636.0,786780.0,8,5,0,0
2289,30,1.0,Aadhar,624636.0,919080.0,0,0,0,0
965,37,1.0,Aadhar,803784.0,1032000.0,0,0,0,1
5797,42,1.0,Aadhar,723804.0,813780.0,0,0,0,0
5003,48,1.0,Aadhar,584988.0,831648.0,2,0,0,1
6163,32,2.0,Aadhar,619836.0,805956.0,2,2,0,1
6801,30,1.0,Aadhar,585396.0,807180.0,0,0,0,0
2571,44,1.0,Aadhar,630936.0,846420.0,0,0,0,0
5986,27,1.0,Aadhar,704316.0,827988.0,3,3,0,0
6541,40,2.0,Aadhar,167880.0,807600.0,2,2,0,0
4150,27,2.0,Aadhar,719364.0,1036008.0,0,0,0,0
5210,42,1.0,Aadhar,544188.0,990372.0,2,2,0,0
5912,50,2.0,Aadhar,568188.0,893652.0,2,0,0,0
2527,37,1.0,Aadhar,586188.0,779400.0,0,0,0,0
27,47,2.0,PAN,701364.0,924468.0,0,0,0,0
3606,43,2.0,Aadhar,746868.0,978708.0,0,0,0,0
64,45,2.0,Aadhar,445668.0,888000.0,2,0,0,0
1045,34,1.0,Aadhar,819888.0,995388.0,0,0,0,1
2655,26,1.0,Aadhar,584400.0,935412.0,0,0,0,0
4872,29,1.0,Aadhar,699108.0,889728.0,3,0,0,1
228,38,2.0,Aadhar,627636.0,785844.0,3,0,0,1
2747,33,2.0,VoterID,909012.0,1250016.0,0,0,0,0
4710,28,2.0,Aadhar,544188.0,825456.0,0,0,0,0
4624,26,2.0,Aadhar,600936.0,751332.0,0,0,0,0
6334,50,2.0,Aadhar,486672.0,641136.0,20,5,0,1
3149,33,2.0,Aadhar,496728.0,892116.0,2,2,0,0
1784,25,1.0,VoterID,564588.0,799920.0,0,0,0,0
2997,47,2.0,Aadhar,832476.0,1148100.0,2,2,0,1
970,42,2.0,PAN,673980.0,1093824.0,0,0,0,0
5398,46,1.0,Aadhar,542808.0,789480.0,4,3,0,0
6146,32,,VoterID,731364.0,969624.0,0,0,0,0
3261,46,2.0,Aadhar,700692.0,838284.0,7,7,0,1
1536,31,2.0,Aadhar,544188.0,878220.0,2,0,0,0
1865,31,1.0,Aadhar,568188.0,1111524.0,4,4,0,0
3936,35,2.0,Aadhar,746760.0,898344.0,0,0,0,0
3195,30,1.0,PAN,648864.0,836172.0,0,0,0,0
2084,48,2.0,PAN,716028.0,1136976.0,0,0,0,1
2437,44,1.0,PAN,651156.0,815784.0,0,0,0,0
4594,34,1.0,Aadhar,645108.0,818412.0,0,0,0,0
6799,25,1.0,Aadhar,725364.0,1026600.0,0,0,0,1
3015,46,1.0,Aadhar,574668.0,925704.0,9,4,0,0
5636,39,1.0,Aadhar,693108.0,867480.0,0,0,0,0
253,30,1.0,Aadhar,550740.0,878724.0,0,0,0,0
4214,42,2.0,Aadhar,736164.0,893100.0,0,0,0,1
4524,29,1.0,Aadhar,837804.0,1390212.0,0,0,0,1
3151,30,1.0,Driving,719052.0,1061028.0,6,4,0,0
4816,40,2.0,Aadhar,468888.0,767484.0,0,0,0,0
6523,35,2.0,Aadhar,871476.0,1062468.0,6,3,0,1
6759,38,1.0,PAN,731364.0,848028.0,2,2,0,1
